taxonID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
101899,Mainland,PT,present,introduced,colonising,ballastWater,1977/,https://doi.org/10.1163/26660644-06102001,
101899,Mainland,PT,present,introduced,colonising,hullFouling,1977/,https://doi.org/10.1163/26660644-06102001,
102005,Mainland,PT,present,introduced,colonising,ballastWater,1985/,https://doi.org/10.1007/BF02334807,
103551,Madeira,PT,present,introduced,established,transportStowaway,1995/,https://doi.org/10.1007/BF02908748,
103552,Mainland,PT,present,native,native,,,,
103552,Madeira,PT,present,introduced,established,transportStowaway,1971/,https://doi.org/10.5962/p.278941,
103552,Azores,PT,present,introduced,established,transportStowaway,1995/,https://doi.org/10.1007/BF02908748,
103554,Madeira,PT,present,introduced,established,transportStowaway,2013/,http://dx.doi.org/10.13140/RG.2.2.15470.84809,
103554,Azores,PT,present,introduced,established,transportStowaway,1971/,https://doi.org/10.5962/p.278941,
103604,Madeira,PT,present,introduced,established,transportStowaway,2006/,https://doi.org/10.3391/ai.2013.8.3.02,
103606,Mainland,PT,present,introduced,reproducing,transportStowaway,2016/,"Ramos-Esplá, A. A. & Moreira, P. (2016). Identificação das espécies de tunicados não indígenas da costa portuguesa.",
103606,Azores,PT,present,introduced,established,transportStowaway,1971/,https://doi.org/10.5962/p.278941,
103606,Madeira,PT,present,introduced,established,transportStowaway,2004/,"Wirtz, P. (2006). Ten invertebrates new for the marine fauna of Madeira. Arquipélago - Life and Marine Science, 23A, 75–78.",
103608,Madeira,PT,present,introduced,established,hullFouling,2013/,https://doi.org/10.5962/p.278941,
103647,Madeira,PT,present,introduced,established,hullFouling,2013/,https://doi.org/10.1016/j.marpolbul.2019.02.072,
103647,Madeira,PT,present,introduced,established,ballastWater,2013/,https://doi.org/10.1016/j.marpolbul.2019.02.072,
103706,Azores,PT,present,introduced,established,transportStowaway,1990/,"Monniot, C. & Monniot, F. (1994). Additions to the inventory of eastern tropical Atlantic ascidians; arrival of cosmopolitan species. Bulletin of Marine Sciences, 54, 71–93.",
103718,Madeira,PT,present,introduced,casual,transportStowaway,2015/,https://doi.org/10.1016/j.rsma.2021.101672,
103732,Mainland,PT,present,native,native,,,,
103732,Madeira,PT,present,uncertain,established,,1992/,https://doi.org/10.1016/j.rsma.2021.101672,
103732,Azores,PT,present,introduced,casual,hullFouling,2014/,"Marina, J. G., Micael, J., & Costa, A. C. (2015). A new non-indigenous species report: Ciona intestinalis (Linnaeus, 1767) in Vila Franca do Campo marina. Poster communication at seminar in Marine Non-Indigenous Species – 18th February, University of the Azores, Ponta Delgada, Portugal.",
103732,Azores,PT,present,introduced,casual,ballastWater,2014/,"Marina, J. G., Micael, J., & Costa, A. C. (2015). A new non-indigenous species report: Ciona intestinalis (Linnaeus, 1767) in Vila Franca do Campo marina. Poster communication at seminar in Marine Non-Indigenous Species – 18th February, University of the Azores, Ponta Delgada, Portugal.",
