language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,101899,"Ampelisca heterodactyla Schellenberg, 1925",Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,102005,"Ampithoe valida Smith, 1873",Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103551,"Clavelina dellavallei (Zirpolo, 1925)",Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103552,"Clavelina lepadiformis (Müller, 1776)",Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103554,"Clavelina oblonga Herdman, 1880",Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103604,"Distaplia bermudensis Van Name, 1902",Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103606,"Distaplia corolla Monniot F., 1974",Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103608,"Distaplia magnilarva (Della Valle, 1881)",Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103647,"Aplidium glabrum (Verrill, 1871)",Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103706,"Ascidia interrupta Heller, 1878",Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103718,"Ascidiella aspersa (Müller, 1776)",Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103732,"Ciona intestinalis (Linnaeus, 1767)",Animalia,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,103862,"Botryllus schlosseri (Pallas, 1766)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,104262,"Acartia (Acanthacartia) tonsa Dana, 1849",Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,106223,"Balanus trigonus Darwin, 1854",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,107379,"Callinectes sapidus Rathbun, 1896",Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,111158,"Bugula neritina (Linnaeus, 1758)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,117313,"Blackfordia virginica Mayer, 1910",Animalia,Cnidaria,Hydrozoa,Leptothecata,Blackfordiidae,Blackfordia,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,117428,"Cordylophora caspia (Pallas, 1771)",Animalia,Cnidaria,Hydrozoa,Anthoathecata,Cordylophoridae,Cordylophora,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,122885,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,Nematoda,Chromadorea,Rhabditida,Anguillicolidae,Anguillicola,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,127054,"Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,130881,"Branchiomma luctuosum (Grube, 1870)",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Branchiomma,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,130902,"Desdemona ornata Banse, 1957",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Desdemona,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,133214,"Desmacella meliorata Wiedenmayer, 1977",Animalia,Porifera,Demospongiae,Desmacellida,Desmacellidae,Desmacella,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,133445,"Crambe crambe (Schmidt, 1862)",Animalia,Porifera,Demospongiae,Poecilosclerida,Crambeidae,Crambe,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,138963,"Crepidula fornicata (Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,species,ICZN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,144438,Asparagopsis armata Harvey 1855,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,species,ICN
en,my_license,MARE,my_dataset_doi,MARE,Checklist of introduced marine species in Portugal ,144439,Asparagopsis taxiformis (Delile) Trevisan de Saint-Léon,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,species,ICN
